step,types,amount,oldbalanceorig,newbalanceorig,oldbalancedest,newbalancedest,isfraud,isflaggedfraud
687,1,371548.21,0.0,0.0,542029.42,913577.63,0,0
16,0,189668.51,5785679.12,5975347.63,4457246.94,4488943.53,0,0
42,0,127719.54,7129413.96,7257133.5,198588.87,70869.32,0,0
135,1,346375.54,0.0,0.0,1237055.11,1583430.65,0,0
325,1,93303.86,32939.0,0.0,29770.03,123073.89,0,0
324,1,75436.5,48448.0,0.0,0.0,75436.5,0,0
18,0,252101.42,196258.0,448359.42,1938345.18,1686243.76,0,0
300,4,794421.26,794421.26,0.0,0.0,0.0,1,0
371,4,205163.3,205163.3,0.0,0.0,0.0,1,0
220,1,1179162.08,1179162.08,0.0,29723.31,1208885.39,1,0
158,0,291487.46,104457.0,395944.46,0.0,0.0,0,0
307,4,1070179.34,0.0,0.0,1514505.11,3282391.51,0,0
230,0,77544.27,680274.4,757818.67,715136.74,637592.47,0,0
42,0,58284.98,6746327.71,6804612.69,994389.67,936104.69,0,0
74,1,85637.08,85637.08,0.0,235137.06,320774.13,1,0
379,1,17216.14,17216.14,0.0,30730.87,47947.01,1,0
401,3,10401.19,0.0,0.0,0.0,0.0,0,0
187,0,75843.54,2521996.89,2597840.44,81350.41,5506.87,0,0
161,1,66337.4,0.0,0.0,112156.22,178493.63,0,0
109,1,177344.53,177344.53,0.0,567501.75,744846.28,1,0
671,1,3544.76,3544.76,0.0,1149120.99,1152665.75,1,0
331,1,292859.17,0.0,0.0,1094640.64,1387499.81,0,0
160,1,86423.41,11477.0,0.0,5101839.38,5188262.79,0,0
373,1,247346.96,0.0,0.0,464249.44,711596.4,0,0
356,3,4115.29,29768.0,25652.71,0.0,0.0,0,0
232,0,358491.65,17459804.32,17818295.97,8713800.51,8355308.86,0,0
209,1,137619.71,105209.0,0.0,357548.85,495168.56,0,0
402,1,66374.45,0.0,0.0,113097.68,179472.13,0,0
209,3,2459.46,187570.9,185111.44,0.0,0.0,0,0
394,1,36478.18,0.0,0.0,239194.26,275672.44,0,0
14,0,279478.16,14622.0,294100.16,920036.83,640558.67,0,0
562,1,8208916.0,8208916.0,0.0,543017.19,8751933.19,1,0
464,1,336917.97,336917.97,0.0,229355.59,566273.55,1,0
205,0,149128.9,19014041.69,19163170.59,5033319.57,4884190.68,0,0
532,1,634046.89,634046.89,0.0,985290.65,1619337.54,1,0
327,3,58461.98,38166.72,0.0,0.0,0.0,0,0
431,4,966389.93,966389.93,0.0,0.0,0.0,1,0
283,1,70102.84,11284.0,0.0,0.0,70102.84,0,0
48,4,2078560.34,0.0,0.0,11682730.95,13761291.29,0,0
400,0,264868.12,19160.0,284028.12,0.0,0.0,0,0
20,1,73783.74,4670.18,0.0,830873.22,904656.96,0,0
133,1,69645.23,358425.0,288779.77,96430.69,166075.92,0,0
383,0,330321.93,4480246.85,4810568.78,6013818.69,5683496.76,0,0
653,4,598426.68,598426.68,0.0,0.0,0.0,1,0
356,3,7675.55,865.0,0.0,0.0,0.0,0,0
327,1,273177.6,84107.5,0.0,422616.37,695793.97,0,0
8,3,1654.41,0.0,0.0,0.0,0.0,0,0
323,3,439.81,262782.66,262342.85,0.0,0.0,0,0
178,0,264714.7,60000.0,324714.7,0.0,0.0,0,0
397,4,704477.84,0.0,0.0,1268527.8,1973005.63,0,0
300,1,264058.41,264058.41,0.0,3298139.38,3562197.79,1,0
307,1,23507.78,0.0,0.0,693492.22,717000.01,0,0
